UC;Animal ID;Years tracked;Season;No. loc.;HRK;HR
Ivinhema State Park;F6;4;Wet-season home range;178;HR85;149 (98 - 211)
Ivinhema State Park;F7;1;Wet-season home range;29;HR85;75 (10 - 201)
Morro do Diabo State Park;M1;1;Annual home range;159;HR95;110 (87 - 136)
Morro do Diabo State Park;M2;1;Annual home range;156;HR95;672 (506 - 862)
Morro do Diabo State Park;F1;1;Annual home range;92;HR95;50 (31 - 75)
Morro do Diabo State Park;F2;2;Annual home range;17;HR95;129 (73 - 201)
Morro do Diabo State Park;F3;5;Annual home range;35;HR95;242 (160 - 339)
Morro do Diabo State Park;F4;2;Annual home range;211;HR95;112 (75 - 157)
Morro do Diabo State Park;F5;1;Annual home range;18;HR95;244 (129 - 394)
Ivinhema State Park;M3;2;Annual home range;797;HR95;499 (396 - 614)
Ivinhema State Park;F6;4;Annual home range;326;HR95;250 (186 - 323)
Ivinhema State Park;F7;1;Annual home range;183;HR95;712 (292 - 1316)
Morro do Diabo State Park;M1;1;Dry-season home range;87;HR95;124 (87 - 166)
Morro do Diabo State Park;M2;1;Dry-season home range;138;HR95;700 (516 - 911)
Morro do Diabo State Park;F1;1;Dry-season home range;58;HR95;16 (11 - 22)
Morro do Diabo State Park;F2;2;Dry-season home range;-;HR95;-
Morro do Diabo State Park;F3;5;Dry-season home range;24;HR95;172 (100 - 262)
Morro do Diabo State Park;F4;2;Dry-season home range;170;HR95;115 (75 - 164)
Morro do Diabo State Park;F5;1;Dry-season home range;18;HR95;244 (129 - 394)
Ivinhema State Park;M3;2;Dry-season home range;399;HR95;542 (367 - 749)
Ivinhema State Park;F6;4;Dry-season home range;148;HR95;302 (195 - 431)
Ivinhema State Park;F7;1;Dry-season home range;154;HR95;607 (232 -  1159)
Morro do Diabo State Park;M1;1;Wet-season home range;72;HR95;105 (75 -139)
Morro do Diabo State Park;M2;1;Wet-season home range;18;HR95;329 (146 - 586)
Morro do Diabo State Park;F1;1;Wet-season home range;34;HR95;161 (34 - 384)
Morro do Diabo State Park;F2;2;Wet-season home range;17;HR95;129 (73 - 201)
Morro do Diabo State Park;F3;5;Wet-season home range;11;HR95;417 (177 - 758)
Morro do Diabo State Park;F4;2;Wet-season home range;88;HR95;62 (39 - 90)
Morro do Diabo State Park;F5;1;Wet-season home range;-;HR95;-
Ivinhema State Park;M3;2;Wet-season home range;398;HR95;528 (390 - 685)
Ivinhema State Park;F6;4;Wet-season home range;178;HR95;232 (152 - 329)
Ivinhema State Park;F7;1;Wet-season home range;29;HR95;116 (16 - 310)
